127.0.0.1 - - [25/Oct/2024:13:58:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Oct/2024:13:58:46 +0530] "GET /ServletProject/index.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [25/Oct/2024:13:58:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:12:27 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:12:34 +0530] "GET /ServletProject/Add%20Dem?101=19&101=10 HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:13:33 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:14:28 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:14:35 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:15:39 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:15:49 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:02 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:02 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:03 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:06 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:07 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:07 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:09 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:18 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:19 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:23 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:16:24 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:17:21 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:17:33 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:17:50 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:18:04 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:14:19:24 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [25/Oct/2024:15:19:35 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [25/Oct/2024:15:19:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Oct/2024:15:19:42 +0530] "GET /ServletProject/Add%20Dem?101=10&101=20&103= HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [25/Oct/2024:15:19:53 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [25/Oct/2024:15:21:57 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [25/Oct/2024:15:22:05 +0530] "GET /ServletProject/Add%20Dem?num1=2&num2=3&sum=Submit HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [25/Oct/2024:15:23:58 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [25/Oct/2024:15:24:02 +0530] "GET /ServletProject/Add%20Dem?num1=2&num2=3&submit=Submit HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [25/Oct/2024:15:26:19 +0530] "GET /ServletProject/Addition.html HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [25/Oct/2024:15:26:23 +0530] "POST /ServletProject/AddDem HTTP/1.1" 404 776
